"n","S","Tot.incid","C_jacc","C_jacc_Z","B_jacc","B_jacc_Z"
17,71,376,0.168281775890369,0.246991354694373,0.348240834317128,3.11778112491178
12,25,117,0.207617965367965,0.00306015215085297,0.409578856971905,1.70132929711995
51,12,241,0.235860941769685,1.80883875353522,0.587861528449764,2.4648771899606
25,10,142,0.342948555145733,0.646289956336045,0.689568783068783,2.09648222070065
30,7,112,0.329287439613527,1.34751384076973,0.650815544608648,1.6235655878698
20,23,139,0.24288578874431,1.01897610893173,0.265525692487767,1.28178918975883
11,65,142,0.124484508547009,0.0693462913836073,0.133658755857153,0.428759173162426
24,61,392,0.130486628190208,0.244945674416632,0.449324740360741,4.79918049460494
4,40,110,0.512179487179487,-0.0353997500454253,0.646514161220044,2.10215036239656
3,34,74,0.554664289958408,-0.0798475249331667,0.608960573476703,0.677609751022251
12,102,167,0.294717623022806,0.951293775185304,0.0809296554240855,0.844088399471899
31,9,119,0.375627593589578,1.72122645501962,0.309751664106503,0.542747580769637
5,13,36,0.377136752136752,-0.0521523158110398,0.354444444444444,-0.229465388264057
5,15,47,0.508412698412698,0.442810203962843,0.484115884115884,0.554548160273313
5,9,27,0.550462962962963,0.919559678943279,0.417857142857143,0.480575812586149
4,4,13,0.708333333333333,0.148440575957845,0.625,-0.964383861273123
4,3,12,1,NA,1,NA
51,41,285,0.159832678015748,1.61954259517696,0.122011379828039,0.936322050481895
9,23,92,0.292714411192672,0.466713960309667,0.560875492064217,2.97006693215569
15,22,94,0.145102840882062,0.130178726832563,0.336995306281021,1.61599183815247
15,31,127,0.142426957749538,0.179374003537585,0.307215713259499,1.79923892336298
3,62,115,0.55676009166226,0.511875408148478,0.414119570028177,0.078854113052748
8,65,270,0.385824748168498,0.502025453668011,0.505651880741385,3.13778807163598
15,17,64,0.112842365967366,0.0297683464122237,0.301660138802996,1.21082470107637
15,17,64,0.131194255091314,0.124094800916657,0.233657665086237,0.782841688408189
15,17,67,0.148723906812142,0.131340166433088,0.273790733076447,0.975733785782307
17,16,138,0.326358215586157,0.405601039099837,0.48473645431366,1.40777013967553
14,8,45,0.251627340913055,0.6770048235496,0.419832548403977,1.13697348655691
17,71,376,0.168281775890369,0.248890124582951,0.348240834317128,3.08983260079889
40,10,91,0.168504381755156,0.625977912279977,0.149465811965812,0.123831367762575
3,60,77,0.3469868173258,0.00736842437022781,0.139642804860196,-2.21157217069838
8,16,19,0.116666666666667,-0.0391171773849041,0.0408163265306122,-0.378117790468862
4,6,13,0.433333333333333,0.274800294759744,0.291666666666667,-0.385893902867912
14,17,60,0.153426761147349,0.238343183751767,0.225398411112697,0.752887743823133
6,12,22,0.253535353535354,0.26646640394326,0.221851851851852,0.479024168798193
8,15,38,0.184886621315193,0.113272150226163,0.238973922902494,0.539480916395632
8,36,135,0.436547619047619,0.942908229070538,0.41154000203507,2.49742340892727
9,36,144,0.334320357772739,0.55298428526827,0.409074253793654,2.02153756663883
4,35,59,0.285434173669468,-0.0167869954178765,0.265203685203685,-0.0414319427726122
6,34,75,0.265983363042187,0.244493687894686,0.241098351940457,0.53924110475158
4,18,41,0.398148148148148,-0.0787684028303026,0.46963649096002,0.675888588299604
3,16,32,0.508333333333333,0.150741598301446,0.525274725274725,0.401604276214657
7,24,65,0.248826777087647,0.187758637323648,0.282652548198767,0.548731807082752
6,16,48,0.390277777777778,0.484070628089007,0.409266474266474,0.877152511055055
7,72,296,0.433037111558238,0.457208912182366,0.532796761355532,2.87868003691712
5,19,57,0.431968810916179,0.343496593232041,0.606804567981039,1.91487097621365
5,15,58,0.603809523809524,-0.086546131052154,0.732875457875458,1.23077667963049
5,85,183,0.277147525676937,0.0224945613538536,0.322480160924941,1.00585825483654
5,76,168,0.28472514619883,0.0245562739545643,0.335414934676866,1.02688137169882
16,25,48,0.0992777777777778,0.151309729758446,0.0605759980759981,-0.0227255305815142
6,8,24,0.430357142857143,0.355532086554965,0.29484126984127,-0.302607027381589
6,9,39,0.553703703703704,0.0527367030070714,0.646296296296296,0.625273593607756
3,8,14,0.404761904761905,-0.118597977264372,0.337301587301587,-0.53788950482518
3,3,5,0.555555555555556,1.45591466096059,0.555555555555556,1.34623889222143
15,65,297,0.179846078067232,0.282588426068353,0.277429866237431,1.94449856854621
4,20,50,0.431140350877193,-0.0398560339888126,0.533728213507625,0.871578347504025
3,16,31,0.480555555555556,0.0705604191153479,0.474236874236874,0.089633638950127
7,38,87,0.234024249813723,0.279183948391912,0.217526001385923,0.665817961494262
6,36,80,0.269312169312169,0.19913495158388,0.235753018586352,0.327109068551013
3,63,121,0.472691585594811,-0.0235185031716007,0.495910254940183,0.579456364804709
3,77,150,0.489861016176806,0.0575595500701446,0.506600881033068,0.745619259936479
3,165,278,0.443409706824341,0.135594235970739,0.370022693549795,-0.193116659428104
6,282,662,0.276072453160361,0.196947892719727,0.298079389312799,2.61138727686779
8,4,27,0.761904761904762,0.658455837723241,0.714285714285714,-0.0785115484840293
8,4,30,0.875,-0.342089373796972,0.875,-0.545852127828174
42,91,281,0.0616990512667212,0.329562175584016,0.076326983310812,0.904817711476688
8,6,23,0.298492063492063,0.318613290500747,0.491071428571429,0.927823947846544
8,22,64,0.4568130282416,1.30650019958385,0.192757461836409,0.570248306837748
91,679,1207,0.0724364297427184,0.775046787507954,0.0402746668285985,1.57035451756289
20,30,332,0.35056832432086,0.544635694873291,0.620917329229486,3.22458821565789
4,12,41,0.756313131313131,0.48161626509685,0.758333333333333,0.357850246613894
