"n","S","Tot.abu","CA_rho","CA_cov","CA_cov_hell","CA_cor","CA_cor_hell","CA_bray","CA_hell","CA_ruz","CA_chi","CA_ratio","CA_cor_hell_Z","CA_hell_Z","CA_rho_Z","CA_bray_Z","CA_ruz_Z","CA_chi_Z"
17,71,12735,0.0889800838767615,120.817108533554,0.00368880724498166,0.0801234939857412,0.0889734550929187,0.918663015327492,1.18697212749259,0.950239189152379,5.15964560226395,5.46961325966851,-12.7715319121188,3.57531268822724,-6.41041167239484,1.74088742933647,1.48518717253842,6.3320058307042
12,25,2049,-0.0229022575467869,-4.08315656565657,-0.00127140132966015,-0.0176017542371511,-0.0150936369889419,0.846548023243815,1.14600297980569,0.90509871782779,2.75832689561982,0.743218806509946,-0.644726625065966,7.45895541511171,-0.673981154587571,4.41989684880689,3.45363098812355,10.9038548241317
51,9,335,0.083813280487219,-0.00717864923747277,0.00126735933790809,0.0939221615392215,0.0822145255078551,0.845687565193514,1.17734877534165,0.892961706648489,3.9006931669772,1.53181818181818,-0.218749970191561,0.207018533876601,-0.173280354843118,0.214426219067471,0.110731216940976,-0.0904363495501592
25,4,132,0.0644293810436361,-0.0147222222222222,0.0019241532214652,0.058734646284594,0.0600852521339081,0.758030197346635,1.03112940822628,0.851105486327449,1.92240695733515,1.26404494382022,-0.228420980428257,-0.40679951889891,-0.284888705177429,-0.449648270176937,-0.561967537771549,-0.773797989570335
29,6,188,0.181533134196364,-0.093431855500821,0.00635403281454297,0.185484589199509,0.179803851007445,0.784529688473013,1.01649417633542,0.847654335865528,2.59898595355183,1.57239057239057,0.283160313473597,0.27079625821252,0.243042878756729,0.66663338750863,0.577153908650389,0.327374777490925
14,12,78,0.0374623670748471,-0.000915750915750915,0.00278804988805608,0.0422669405126011,0.03380284584324,0.887747622216209,1.24227811574901,0.91668929223969,3.53136667247098,0.916955017301038,-0.719950350532135,0.889809889455454,-1.39439558772375,0.887611507745225,0.797954410438887,1.08222010677927
11,65,1566,0.0164671553706586,0.397670454545455,0.0013888097373949,0.0141109926742848,0.017921408519566,0.9335755405895,1.24750725659518,0.955971666894054,3.918887918224,1.97627737226277,-2.74080290053067,1.85426624251223,-2.5440057257734,1.5335030445079,1.28694615384319,3.45677384624945
24,61,16073,0.0594817808898269,40.3571632216679,0.00211259778336794,0.05566239584249,0.0600855431588344,0.936606435058513,1.22810414022615,0.960947603864788,5.66149846868217,3.74717832957111,-8.83758526832116,3.01341789013271,-6.62480736751158,1.60066100408844,1.35456279007313,5.98653713652826
4,40,4924,-0.0121053570079391,92.5205128205128,-0.00173839887810464,-0.011929615360376,-0.0127117614393275,0.818939973264744,0.835224265321627,0.878323416815495,1.52962695225196,0.0540540540540541,-5.17725218922674,2.63909738750042,-3.04642824981331,0.956300990725048,0.80182048739119,2.82494815854651
3,34,1968,-0.0193690292402575,-18.2332144979204,-0.00452364925818343,-0.0135662624285085,-0.0168625168245259,0.780312128242622,0.79910626582819,0.852719076804706,1.29810601522785,0.0555555555555556,-1.52566433681584,2.69362127755646,-1.31691377586099,1.14062921861796,0.932951929804194,2.61938357731596
12,102,550,0.288948403129889,0.151932840342858,0.0226189223809416,0.281869617408504,0.285257187509986,0.754819298348086,1.00092955853041,0.807868332841027,3.57919577882787,27.8150991682662,-2.55826417290057,0.0333287026516784,-2.58935797657183,0.289333037147439,0.208870603305098,1.19752412389088
31,9,1189,0.412331532710602,34.0833930704898,0.00947164640191474,0.316984345126973,0.403436951973733,0.745764545117243,0.922116668333569,0.846384738267558,1.95332198009066,3.32596685082873,-8.74477379003716,7.03607536264493,-3.82594603602328,3.65311633026351,2.97755148591983,6.33674933808885
5,13,1660,-0.0248047973868289,-19.375,0.00329830067512996,0.0575580735415037,0.0359843448492743,0.828888516181974,1.02342905552515,0.891043014568496,2.55024179494913,0.485714285714286,-18.7305550936384,9.45144080619782,-5.73870764701597,4.80775302176727,3.64438550977111,14.104848020445
5,15,4195,0.186263184093529,960.187619047619,0.0124714750558993,0.0668877308051374,0.138975824682906,0.825213432209273,0.939375725595806,0.887649295165763,3.06344117986347,3.27272727272727,-28.5500853990706,13.9007085707182,-5.2075917806535,5.24272355316763,3.86237183953026,18.6998913458578
5,9,309,0.23774509140657,8.0875,0.0239987134874875,0.146762351712401,0.255747945286441,0.695276079082945,0.851456307334566,0.803525012092374,1.50289659202822,4.19047619047619,-1.81017437556419,4.74006469574727,-1.10461339286373,2.73961837792744,2.03679928171161,4.34279292865779
4,4,192,-0.170272836892631,-50.5416666666667,-0.00824114244933902,-0.13336445066318,-0.0734981718018302,0.662462743859096,0.848356539578884,0.770286873697345,1.64446342464602,1.22222222222222,-5.17995675438573,7.45358255483206,-3.29132377571581,2.96287331271221,2.49502698937726,7.98202181792866
4,3,281,-0.0738790071185946,12.1666666666667,0.00414579244673702,-0.0949918435894572,-0.0247514606505373,0.613011792412822,0.470351181244362,0.754234889718561,1.15204309829775,NA,-9.0640441594734,5.03443490048245,-2.75196478851231,1.32684955566391,1.12097834259296,6.8806166556277
51,41,644,0.229492310827952,0.281234337637494,0.00443589057872175,0.268230108374222,0.260526220221106,0.819904277058375,1.14045757182862,0.890328261989578,4.17002636238822,9.37105549510337,-0.111824953705994,0.303614584292166,-0.037290961439049,0.309186627600096,0.306629504021748,0.355774305396159
9,23,1990,0.0577725003940318,3.26119894598156,0.00896341834489042,0.0560114891772376,0.0664919492033981,0.862750478009251,1.05312338921573,0.91368140786714,3.22163745382665,3.94495412844037,-3.10792997565198,2.57618829385549,-3.2031574441712,1.5918176167098,1.38382125708616,4.34683036266083
15,22,318,0.020271731938319,0.310554524840239,0.00146758466371167,0.027290499591891,0.0291740442836014,0.873374224305682,1.21182478474801,0.92336194625794,3.54762319363789,1.81194029850746,-1.55241442976107,0.835381259370077,-1.07869929421558,0.709741853050213,0.639689337992647,1.05047588976601
15,31,314,0.0419079803031303,0.0707834101382488,0.00189737499379006,0.034908183161614,0.0421565087626607,0.863516566600913,1.21263981867086,0.914885741508484,3.63596730158843,2.62393162393162,-0.847080946662638,0.618066895656423,-0.730059933194053,0.564055263855909,0.517846374649442,0.965274920176012
3,21,187,0.135668481222698,-0.0547619047619048,0.0529395003764992,0.122675758959067,0.123276676749717,0.664925498652301,0.719105728521201,0.761948494166548,1.17301642738971,6.2,-1.38099357303598,0.574188059866394,-1.37730348890361,0.554940114247984,0.526902720582697,0.682732819472142
8,25,643,0.0745997681460349,0.170714285714286,0.0122345731073607,0.1122149979276,0.102188142032514,0.799567098516867,1.00957299122686,0.868752189287777,2.22271100523476,3.53218884120172,-1.08836494552126,0.690418048578021,-1.03051643861482,0.64913493465628,0.57627891964133,1.18673566537385
15,17,172,0.00930579567098132,0.00122549019607843,0.000587361416954928,0.00937199170740708,0.00947220032694126,0.900896756180036,1.25267973167378,0.94013575134596,4.14103559028098,1.11244979919679,-1.40449272092231,0.804501266903731,-1.74323613497115,0.793941226903106,0.684843813778777,1.35753510435979
15,17,163,0.0422463466240388,0.0537114845938375,0.00238359405118061,0.0540502263486555,0.0482760661292815,0.87301863165945,1.2171137634169,0.923327578822315,3.43516313723766,1.5729537366548,-0.84296646812697,0.628142694997219,-0.567749304472099,0.640376954038439,0.623747427228523,0.869716913529027
15,17,754,0.0569444953454697,-1.0187675070028,0.00408138838678115,0.0821739204542995,0.071225939648135,0.906486061202104,1.19579081270925,0.939011387628775,3.32741989434856,1.35636363636364,-5.44644164234926,1.74174288008658,-5.06623507118916,1.13561167513477,1.01462769531905,1.73537279019185
17,16,6369,0.187484872882411,245.838817401961,0.00704805084668623,0.177685712779796,0.200472121925962,0.871778276762062,1.0167752607391,0.925404659231486,2.63576546859806,2.30287206266319,-11.6805845591802,6.66072377364205,-6.10475175304219,2.31832672573967,1.9216879070842,8.75816290553282
14,8,1165,0.237593678918164,61.3175039246468,0.00803401395111734,0.1071058568581,0.171191369741764,0.878282637374113,1.11767676142765,0.92977563374693,3.62325147558667,2.38396624472574,-12.4020384916167,7.98328688877666,-5.86946974604324,3.57584174846757,2.85710725236055,9.39256707338237
17,71,12735,0.0889800838767615,120.817108533554,0.00368880724498166,0.0801234939857412,0.0889734550929187,0.918663015327492,1.18697212749259,0.950239189152379,5.15964560226395,5.46961325966851,-12.7223484481247,3.57324535500864,-6.61123685938098,1.72684185779098,1.50153643671496,6.3735608064327
40,10,2267,0.129805506474196,94.1958547008547,0.00535651031685278,0.281208962188698,0.244217980878698,0.749939275163247,1.13110789835316,0.848597285089215,3.28091320889772,1.94411879640485,-21.812653686835,20.6800708934248,-14.3542566725881,14.1396423001531,9.85795247254461,36.3865267780917
3,60,3229,-0.000212228444642898,131.351789077213,-0.00158974049584377,-0.00478163838621145,-0.00132958671189447,0.847559443240228,0.949184284406338,0.890689765019074,2.47809022226177,1.25862068965517,-13.7696746673554,2.45716719364183,-4.19266194928416,1.59749942858698,1.29735705850302,3.89685590200614
8,16,159,-0.0199255226904111,-0.974107142857143,-0.00228018155713845,-0.0176925124130961,-0.0197158476294612,0.941677720793574,1.25003298889357,0.956959026695869,3.62492928462322,0.622047244094488,-1.3134318659331,1.9394406990246,-1.14578441768899,1.96313046447477,1.55645022094641,4.14940130681647
4,6,138,-0.0170072444977469,-12.9888888888889,-0.00626856038863249,-0.0370426805069216,0.00766180795775043,0.770000173329633,0.971138976638939,0.846920776660548,1.73931901859728,1.66666666666667,-1.08844849465137,4.28937828205172,-0.748520110167009,2.37678023811989,1.82073669931753,4.75902992501379
14,17,1180,0.0681564554756728,14.0200791855204,0.00477726943537855,0.0661766001177787,0.0750463785330645,0.906490028068764,1.20896981770246,0.937253092569885,6.58699292218123,1.94354838709677,-14.3811169620033,5.87466557145259,-7.64922496831172,3.09688444480329,2.37955366343357,7.59176801457691
6,12,776,0.131526316081472,-0.12979797979798,0.0174426524244002,0.0785064963311789,0.111951860825807,0.90811794350898,1.06883498111183,0.935848848080469,3.56740799513844,2.27777777777778,-20.447399076497,4.15244148404894,-6.31164633294056,2.26042304879611,1.91792805704599,5.44457696749698
8,15,404,0.0586242334029862,26.5583333333333,0.00423534271903464,0.0358250172278658,0.0516610015189431,0.878972709942829,1.17643130959151,0.916145129822905,6.73211382652388,1.89873417721519,-7.92701125539437,2.65972778387865,-2.04373163629032,1.55295524325555,1.28616562998909,4.35882776694772
8,36,1779,0.480059756423839,31.5675453514739,0.0539418199712024,0.490099233890614,0.498099206010211,0.535037906895478,0.715509788378121,0.638940794261853,1.35248628618786,14.0231362467866,-3.46911721683299,3.8285954552748,-2.48962630465804,2.25866828835226,1.66418090949812,4.40601820855531
9,26,1582,0.205949505471409,13.6381623931624,0.0141848728023475,0.181168312826382,0.197713688403545,0.817078359422712,0.967411774154662,0.885145567246614,2.03841451022273,5.07692307692308,-4.02264499862602,2.64142159984484,-2.93373225060952,1.52229491646874,1.30240485533497,3.46605664151561
