"n","S","Tot.incid","Whitt","C_segSc","C_togSc","C_jacc","C_sor","C_forbes","C_alroy","C_FETmP","C_pears","C_match","C_ratio","C_combo","C_checker","C_conn","C_segSc_Z","C_togSc_Z","C_jacc_Z","C_sor_Z","C_match_Z"
17,71,376,3.21010638297872,0.0378121671203693,0.0569623624097526,0.168281775890369,0.24118653660428,1.20799830323018,0.53708475803039,0.550018689737296,0.0568630483844837,0.586980707776068,5.46961325966851,17,953,0.311516155758078,-0.200118715979437,0.253611028759393,0.25233533933238,0.230619153161753,0.229891084907131
12,25,117,2.56410256410256,0.0604040404040404,0.0568181818181818,0.207617965367965,0.285016015183871,0.920943722943723,0.537265946853379,0.479355519480519,-0.0204517648204466,0.513888888888889,0.743218806509946,12,122,0.39,0.14566143915144,-0.00307903412095282,-0.00438797989019524,-0.0557274618958479,-0.0688415880509298
51,12,241,2.53941908713693,0.00708259061200238,0.0526559714795009,0.235860941769685,0.339035181530372,1.91873460169245,0.838366680660489,0.721999767080275,0.237558639056205,0.543969102792632,3.2193287037037,19,3,0.393790849673203,-1.54601300260702,1.828772198999,1.77297406635964,1.67530486537706,1.67131199071445
25,10,142,1.76056338028169,0.0120740740740741,0.0285925925925926,0.342948555145733,0.432523267913979,1.27563732563733,0.874336277580558,0.569649481760668,0.130021094651496,0.493333333333333,1.696875,14,3,0.568,-0.642034167497919,0.601536763331083,0.628643534678093,0.647420423098561,0.650475960550822
30,7,112,1.875,0.0100711548987411,0.0479474548440066,0.329287439613527,0.441789651366602,1.4051423616641,0.907451681735371,0.628278858710072,0.237838759708553,0.495238095238095,1.93010752688172,9,1,0.533333333333333,-1.1521886606238,1.38312771596843,1.38227210763419,1.30817446247388,1.22306747064686
20,23,139,3.30935251798561,0.0303099646349074,0.109132515082172,0.24288578874431,0.346174886582802,1.5243770463491,0.676171395047719,0.686784969406361,0.202212169739571,0.64901185770751,5.98224852071006,20,51,0.302173913043478,-0.740450219263253,0.999099338089402,1.01803898381559,0.868512644755414,0.880837414658824
11,65,142,5.03521126760563,0.0469230769230769,0.0515996503496503,0.124484508547009,0.170070311632812,1.04494144917582,0.299070102658362,0.507022560772561,0.0126077445614243,0.685314685314685,1.97627737226277,11,1388,0.198601398601399,-0.0186291505804862,0.0633603665523891,0.0745677497712814,0.0470213835138299,0.0434043066418505
24,61,392,3.73469387755102,0.0193058525382118,0.028943929674507,0.130486628190208,0.187694843258152,1.51205133039756,0.492175494961073,0.542762560788962,0.0500923796869057,0.613934426229508,3.74717832957111,24,800,0.26775956284153,-0.241882673346203,0.252801488364667,0.24927789278242,0.240787423583033,0.245723625860602
4,40,110,1.45454545454545,0.0591880341880342,0.0517094017094017,0.512179487179487,0.601855921855922,0.991025641025641,0.844871794871795,0.493963675213675,-0.0469974305651559,0.559615384615385,0.0540540540540541,3,118,0.6875,0.143272525603332,-0.0228564323635052,-0.039100881114023,-0.0907145592349917,-0.0698175523847653
3,34,74,1.37837837837838,0.0641711229946524,0.0540701128936423,0.554664289958408,0.654604872251931,0.979946524064171,0.884038296048818,0.494949494949495,-0.0555555555555556,0.590017825311943,0.0555555555555556,3,60,0.725490196078431,0.0790626679692246,-0.0762029629582102,-0.0764831593598182,-0.0703579747942676,-0.0820066146712382
12,102,167,7.32934131736527,0.0152485836818976,0.076890041945371,0.294717623022806,0.350948368915754,3.3525897883906,0.496258369440747,0.663333122527939,0.28250035406408,0.820633533941629,27.8150991682662,12,2488,0.136437908496732,-0.939044979474266,0.955665322736894,0.958880842497697,0.948673537633705,0.956354487840721
31,9,119,2.34453781512605,0.038231780167264,0.163978494623656,0.375627593589578,0.530725929807627,1.51280918477099,0.856288477164091,0.875599035110434,0.292568141960405,0.623655913978495,3.32596685082873,22,0,0.426523297491039,-1.45020598894875,1.77681113695425,1.7476828013423,1.57276173515286,1.57168008180091
5,13,36,1.80555555555556,0.158974358974359,0.135897435897436,0.377136752136752,0.500213675213675,0.951299857549858,0.721755563993472,0.480769230769231,-0.0433231947192487,0.482051282051282,0.485714285714286,5,13,0.553846153846154,0.117985472012256,-0.0513047692059121,-0.0572882845279116,-0.0822187948720486,-0.0925736520520374
5,15,47,1.59574468085106,0.0828571428571429,0.154285714285714,0.508412698412698,0.606424792139078,0.999867724867725,0.797438389002923,0.568571428571429,0.202753791327414,0.580952380952381,3.27272727272727,4,18,0.626666666666667,-0.365369463248158,0.437143054508803,0.455560858408134,0.404813127716156,0.406195040142446
